number,house_id,datetime,energy_import
114,77,2020-08-05 17:00:00,0.023514278589106378
115,77,2020-08-05 18:00:00,0.0020781204711422616
116,77,2020-08-05 19:00:00,0.15543700192140686
117,77,2020-08-05 20:00:00,0.27720915513838584
118,77,2020-08-05 21:00:00,0.056
119,77,2020-08-05 22:00:00,0.439
120,77,2020-08-05 23:00:00,0.46848650228774336
121,77,2020-08-06 00:00:00,0.4453417391375851
122,77,2020-08-06 01:00:00,0.4785074791544629
123,77,2020-08-06 02:00:00,0.46891219350187785
124,77,2020-08-06 03:00:00,0.4250546503996972
125,77,2020-08-06 04:00:00,0.40783162008054646
126,77,2020-08-06 05:00:00,0.4340136892670585
127,77,2020-08-06 06:00:00,0.4164936443414361
128,77,2020-08-06 07:00:00,0.3544086559118385
129,77,2020-08-06 08:00:00,0.07916708606137052
130,77,2020-08-06 09:00:00,0.12299804968457836
131,77,2020-08-06 10:00:00,0.2471740002541429
132,77,2020-08-06 11:00:00,0.30493202507447403
133,77,2020-08-06 12:00:00,0.29992058720001513
134,77,2020-08-06 13:00:00,0.01039461725517809
135,77,2020-08-06 14:00:00,0.197
136,77,2020-08-06 15:00:00,0.11496568003303426
137,77,2020-08-06 16:00:00,0.09036772211350763
138,77,2020-08-06 17:00:00,0.1241189021089317
139,77,2020-08-06 18:00:00,0.2292141401982191
140,77,2020-08-06 19:00:00,0.29624729137196487
141,77,2020-08-06 20:00:00,0.459
142,77,2020-08-06 21:00:00,0.6599232286407243
143,77,2020-08-06 22:00:00,0.6331836515484891
144,77,2020-08-06 23:00:00,0.42446198437350585
145,77,2020-08-07 00:00:00,0.2454307895422135
146,77,2020-08-07 01:00:00,0.22192135284506673
147,77,2020-08-07 02:00:00,0.6672042385557739
148,77,2020-08-07 03:00:00,0.6942711013110427
149,77,2020-08-07 04:00:00,0.5730877240798861
150,77,2020-08-07 05:00:00,0.6128911810823892
151,77,2020-08-07 06:00:00,0.4765706600721386
152,77,2020-08-07 07:00:00,0.3923494344454546
153,77,2020-08-07 08:00:00,0.27363423192377734
154,77,2020-08-07 09:00:00,0.23446576762585897
155,77,2020-08-07 10:00:00,0.2234082599176584
156,77,2020-08-07 11:00:00,0.186
157,77,2020-08-07 12:00:00,0.466
158,77,2020-08-07 13:00:00,0.04003442230068896
159,77,2020-08-07 14:00:00,0.30375152365579516
160,77,2020-08-07 15:00:00,0.2868029604661431
161,77,2020-08-07 16:00:00,0.01619222422455033
162,77,2020-08-07 17:00:00,0.07204342598241553
163,77,2020-08-07 18:00:00,0.2509093207706928
164,77,2020-08-07 19:00:00,0.84
165,77,2020-08-07 20:00:00,0.7430839891187726
166,77,2020-08-07 21:00:00,0.6643185549387185
167,77,2020-08-07 22:00:00,0.6145314814848788
168,77,2020-08-07 23:00:00,0.5833659469624889
169,77,2020-08-08 00:00:00,0.19024280984467173
170,77,2020-08-08 01:00:00,0.19902974506696144
171,77,2020-08-08 02:00:00,0.19060129360588243
172,77,2020-08-08 03:00:00,0.19077943964501384
173,77,2020-08-08 04:00:00,0.17917576160094725
174,77,2020-08-08 05:00:00,0.24985458423614237
175,77,2020-08-08 06:00:00,0.20688075396791142
176,77,2020-08-08 07:00:00,0.18025712101142274
177,77,2020-08-08 08:00:00,0.19802900340921384
178,77,2020-08-08 09:00:00,0.0847765896545108
179,77,2020-08-08 10:00:00,0.005978636299422532
180,77,2020-08-08 11:00:00,0.003
181,77,2020-08-08 12:00:00,0.339
182,77,2020-08-08 13:00:00,0.354
183,77,2020-08-08 14:00:00,0.001
184,77,2020-08-08 15:00:00,0.253
185,77,2020-08-08 16:00:00,0.008
186,77,2020-08-08 17:00:00,0.04114447783232386
187,77,2020-08-08 18:00:00,0.137
188,77,2020-08-08 19:00:00,0.2178035507699373
189,77,2020-08-08 20:00:00,0.19410551225691342
190,77,2020-08-08 21:00:00,0.1897124348166976
191,77,2020-08-08 22:00:00,0.182
192,77,2020-08-08 23:00:00,0.171
193,77,2020-08-09 00:00:00,0.1909304140469355
194,77,2020-08-09 01:00:00,0.2038129865107102
195,77,2020-08-09 02:00:00,0.1891513544700434
