timestamp,Temperature,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Global radiation,Precipitation Total
20200205T0500,15.909214,0,0,0,0,0,0
20200205T0600,15.749214,0,0,0,0,0,0
20200205T0700,15.769214,0,22.25,19.801575,2.4484248,24.6984248,0
20200205T0800,17.379213,0,151.3,130.60326,20.696745,171.996745,0
20200205T0900,20.289213,0,379.13998,255.63594,123.50404,502.64402,0
20200205T1000,23.479214,53.61702,677.29,432.37317,244.91682,922.20682,0
20200205T1100,25.479214,55.531918,751.16,528.53534,222.62462,973.78462,0
20200205T1200,26.789213,59.808514,914.92,620.81696,294.10303,1209.02303,0
20200205T1300,27.439215,60,932.72,636.6153,296.10468,1228.82468,0
20200205T1400,27.689215,53.61702,882.88,594.3287,288.55133,1171.43133,0
20200205T1500,27.379213,59.61702,743.14996,489.6842,253.46576,996.61572,0
20200205T1600,26.329214,58.723404,589.18,367.4635,221.71648,810.89648,0
20200205T1700,24.929214,53.61702,399.61,234.23619,165.3738,564.9838,0
20200205T1800,22.739214,58.723404,157.53,85.593376,71.93662,229.46662,0
20200205T1900,20.849215,10.639361,2.67,1.7602575,0.90974265,3.57974265,0
20200205T2000,20.399214,0,0,0,0,0,0
20200205T2100,19.119213,0,0,0,0,0,0
20200205T2200,18.069214,0,0,0,0,0,0
20200205T2300,17.279213,0,0,0,0,0,0
20200206T0000,16.839214,0,0,0,0,0,0
20200206T0100,16.669214,0,0,0,0,0,0
20200206T0200,16.249214,0,0,0,0,0,0
20200206T0300,15.729214,0,0,0,0,0,0
20200206T0400,15.039214,0,0,0,0,0,0
20200206T0500,14.369214,0,0,0,0,0,0
20200206T0600,13.679214,0,0,0,0,0,0
20200206T0700,15.799213,0,24.92,15.218663,9.701337,34.621337,0
20200206T0800,18.169214,0,188.68,112.62739,76.052605,264.732605,0
20200206T0900,21.369213,54.255318,468.13998,282.94058,185.1994,653.33938,0
20200206T1000,24.229214,59.04255,700.43,447.3385,253.09149,953.52149,0
20200206T1100,25.969213,58.723404,841.05,558.5222,282.52774,1123.57774,0
20200206T1200,27.249214,59.234043,922.93,626.58124,296.34875,1219.27875,0
20200206T1300,28.019215,59.61702,941.62,642.3096,299.31042,1240.93042,0
20200206T1400,28.439215,60,890.89,600.0503,290.8397,1181.7297,0
20200206T1500,28.439215,59.61702,778.75,509.07837,269.67163,1048.42163,0
20200206T1600,27.789213,59.234043,611.43,381.5313,229.8987,841.3287,0
20200206T1700,26.389214,58.468086,405.84,237.99379,167.8462,573.6862,0
20200206T1800,23.719213,58.085106,165.54,89.978455,75.56154,241.10154,0
20200206T1900,21.529213,13.36766,2.67,1.6824604,0.98753965,3.65753965,0
20200206T2000,19.949215,0,0,0,0,0,0
20200206T2100,19.009212,0,0,0,0,0,0
20200206T2200,18.149214,0,0,0,0,0,0
20200206T2300,17.359215,0,0,0,0,0,0
20200207T0000,16.649214,0,0,0,0,0,0
20200207T0100,15.819214,0,0,0,0,0,0
20200207T0200,15.429214,0,0,0,0,0,0
20200207T0300,15.319214,0,0,0,0,0,0
20200207T0400,15.229214,0,0,0,0,0,0
20200207T0500,15.279214,0,0,0,0,0,0
20200207T0600,15.539214,0,0,0,0,0,0
20200207T0700,16.799213,0,16.91,9.557106,7.352894,24.262894,0
20200207T0800,18.009212,0,123.71,76.17857,47.53142,171.24142,0
20200207T0900,19.589214,0,241.19,110.72543,130.46457,371.65457,0
20200207T1000,21.729214,49.787235,375.58,178.14273,197.43726,573.01726,0
20200207T1100,24.679214,53.61702,740.48,527.61255,212.8674,953.3474,0
20200207T1200,26.339214,53.61702,885.55,616.4778,269.07224,1154.62224,0
20200207T1300,27.259214,53.61702,895.33997,631.0239,264.31604,1159.65601,0
20200207T1400,25.959213,53.61702,372.91,68.31006,304.59995,677.50995,0
20200207T1500,25.719213,53.61702,573.16,452.98438,120.175606,693.335606,0
